postcode,Name,Lat,Long
32000,Sitiawan,4.32271,100.80213
36000,Teluk Intan,4.17392,101.01935
13200,Kepala Batas,5.44568,100.45661
75350,Melaka,2.2218,102.25853
88838,Kota Kinabalu,5.97647,116.11578
50100,Kuala Lumpur,3.15127,101.69472
60000,Kuala Lumpur,3.14564,101.64504
11000,Balik Pulau,5.35202,100.28236
30100,Ipoh,4.61243,101.07598
24000,Cukai,4.33046,103.352
31300,Kampung Kepayang,4.55951,101.06726
43700,Beranang,2.95205,101.82615
84200,Muar,2.01025,102.69815
57000,Kuala Lumpur,3.10129,101.69151
56000,CherasKuala LumpurCheras,3.075053.105963.07505,101.73824101.71803101.73824
34300,Bagan Serai,4.86869,100.69681
43650,Bandar Baru Bangi,2.9918,101.74547
96800,Kapit,1.9499,113.16923
91100,Lahad Datu,5.04339,118.34601
58100,Kuala Lumpur,3.11855,101.68698
90307,Sandakan,5.84561,118.05706
16810,Selising,5.88993,102.29585
88450,Kota Kinabalu,5.95584,116.03685
30200,Ipoh,4.59791,101.08843
85100,Batu Anam,2.42469,102.84967
21070,Kuala Terengganu,5.271,103.12352
77300,Merlimau,2.19797,102.37181
46350,Petaling Jaya,3.11599,101.6425
72000,Kuala Pilah,2.7226,102.21377
40150,Shah Alam,3.11002,101.55377
55300,Kuala Lumpur,3.11774,101.74242
46300,Petaling Jaya,3.13167,101.60472
59200,Kuala Lumpur,3.1185,101.67566
46200,Petaling Jaya,3.08318,101.64069
26140,Kuantan,3.95698,103.22595
42920,Pulau IndahPelabuhan Klang,2.966253.13731,101.37675101.74708
5460,Alor StarAlor Setar,6.119366.08026,100.36769100.3946
21100,Kuala Terengganu,5.31991,103.10742
31500,Ipoh,4.57729,101.08567
30300,Ipoh,4.63815,101.07499
91030,Tawau,4.28246,117.91479
24100,Kijal,4.43602,103.41754
21400,Bukit Payong,5.23205,103.10406
95900,Lubok Antu,1.25485,111.6771
40100,Shah Alam,3.07988,101.53336
5400,Alor SetarAlor Star,6.056786.11615,100.3876100.37034
9310,Kuala Ketil,5.58489,100.7507
75400,Melaka,2.21102,102.25482
5150,Alor SetarAlor Star,6.090146.07272,100.36923100.38592
91115,Lahad Datu,5.04885,118.35931
75300,Melaka,2.20738,102.25096
11600,Jelutong,5.39558,100.31106
83400,Sri MedanSeri Medan,1.508441.90712,103.71365103.07573
34100,Selama,4.82898,100.88408
16150,Kota Bharu,6.06023,102.23412
25300,Kuantan,3.80913,103.23628
80100,Johor Bahru,1.5041,103.70518
30000,Ipoh,4.65017,101.06822
21500,Sungai Tong,5.2448,102.87951
91300,Semporna,4.43633,118.53184
16800,Pasir PutehPasir Puteh,5.817785.87605,102.3748102.38409
5710,Alor Setar,6.11936,100.36769
18000,Kuala Krai,5.56927,102.17863
5644,Alor Setar,6.11936,100.36769
89107,Kota Marudu,6.48525,116.73285
48050,Rawang,3.25595,101.56419
87015,Labuan,5.29132,115.24591
89727,Membakut,5.52429,115.68894
16300,Bachok,6.02688,102.3366
32300,Pangkor,4.25968,100.60948
88844,Kota Kinabalu,5.97647,116.11578
90719,Sandakan,5.84561,118.05706
34000,Taiping,4.79687,100.79344
21200,Kuala Terengganu,5.29671,103.08469
15400,Kota Bharu,6.11854,102.24895
41200,Klang,3.02318,101.46209
21700,Kuala Berang,5.10477,102.97329
9100,Baling,5.72295,100.78312
70100,Seremban,2.71072,101.95125
47500,Petaling JayaSubang Jaya,3.08863.05415,101.60704101.59487
70400,Seremban,2.74864,101.9435
2700,Simpang Ampat,6.31553,100.20256
26820,Kuala Rompin,2.9468,103.32862
78200,Kuala Sungai Baru,2.33001,102.09614
41250,Klang,3.04004,101.44961
16250,Wakaf Bharu,6.08639,102.20987
42100,Klang,3.05923,101.46152
31000,Batu Gajah,4.44216,101.05459
15200,Kota Bharu,6.10503,102.25103
43950,Sungai Pelek,2.85265,101.63203
89650,Tambunan,5.69327,116.37971
76100,Durian Tunggal,2.30135,102.28425
18050,Kuala Krai,5.53393,102.19964
13110,Penaga,5.48524,100.39368
20200,Kuala Terengganu,5.31652,103.12461
50350,Kuala Lumpur,3.15121,101.69561
42200,Kapar,3.13313,101.42074
95700,Betong,1.50379,111.46747
34500,Batu Kurau,4.95526,100.83979
91109,Lahad Datu,5.04885,118.35931
88100,Kota Kinabalu,5.94121,116.00963
41050,Klang,3.06451,101.4786
89158,Kota Belud,6.36483,116.44763
50470,Kuala Lumpur,3.13401,101.68729
10470,Pulau Pinang,5.42891,100.31037
91016,Tawau,4.28246,117.91479
34900,Pantai Remis,4.57075,100.6901
50460,Kuala Lumpur,3.13652,101.69413
71300,Rembau,2.57979,102.1108
20300,Kuala Terengganu,5.29375,103.14095
28500,Lanchang,3.55474,102.26499
75000,Melaka,2.20191,102.2518
6500,Langgar,6.04791,100.40696
26060,KuantanKuantan,3.622773.62277,102.39263102.39263
81400,Senai,1.64455,103.59734
6700,Pendang,5.96228,100.47198
93100,Kuching,1.61377,110.45974
89908,Tenom,4.98722,115.92408
8100,Bedong,5.78786,100.47193
32400,Ayer Tawar,4.36739,100.86044
96300,Dalat,2.28531,111.90267
80050,Johor Bahru,1.48634,103.77133
78100,Lubok China,2.43255,102.11267
17600,Jeli,5.728,101.92245
89008,Keningau,5.26497,116.32826
91307,Semporna,4.43634,118.53184
35000,Tapah,4.32791,101.15951
89700,Bongawan,5.48345,115.78342
84300,Bukit Pasir,2.1122,102.76167
89500,Penampang,5.88835,116.10261
28800,Lurah Bilut,3.66232,101.92016
75200,Melaka,2.21154,102.24101
91112,Lahad Datu,5.04885,118.35931
70450,Seremban,2.77245,101.94024
40718,Shah Alam,3.09061,101.5296
54200,Kuala Lumpur,3.17289,101.7334
52100,Kuala Lumpur,3.18325,101.65845
83100,Rengit,1.66404,103.24531
25150,Kuantan,3.76859,103.23282
14300,Nibong Tebal,5.21405,100.45183
6600,Kuala Kedah,5.99193,100.36355
17610,Kuala Balah,5.45264,101.92119
22300,Kuala Besut,5.79978,102.55793
28200,Bandar BeraTriang,3.343693.40506,102.52811102.62328
8800,Gurun,5.78963,100.52379
45800,Jeram,3.1944,101.42813
94700,Serian,1.2438,110.25629
98000,Miri,4.26777,113.96924
85300,Labis,2.26038,103.54577
78300,Masjid Tanah,2.3301,102.14718
91023,Tawau,4.28246,117.91479
57100,Kuala Lumpur,3.10933,101.69953
11400,Pulau Pinang,5.40827,100.30865
71200,Rantau,2.63094,101.95539
32600,BotaBandar Seri Iskandar,4.472374.35867,100.89641100.96728
11060,Pulau Pinang,5.40189,100.3036
89957,Nabawan,5.04137,116.42673
33000,Kuala Kangsar,4.7073,100.93812
10000,Pulau Pinang,5.4166,100.33046
20000,Kuala Terengganu,5.28468,103.14746
77500,Selandar,2.38403,102.35842
33410,Lenggong,5.11386,101.04888
98700,Limbang,4.13707,114.60053
6400,PendangPokok Sena,5.982456.04324,100.45936100.52211
89657,Tambunan,5.69149,116.37753
42500,Telok Panglima Garang,3.06388,101.53555
31350,Ipoh,4.57228,101.11566
10200,Pulau Pinang,5.42084,100.3361
13050,Butterworth,5.41608,100.40472
25050,Kuantan,3.8109,103.28838
45600,Batang Berjuntai,3.30355,101.46004
46000,Petaling Jaya,3.10704,101.63049
46150,Petaling Jaya,3.10898,101.57043
58000,Kuala Lumpur,3.12377,101.68414
16100,Kota BharuKota Bahru,5.980826.12201,102.31803102.25227
21080,Kuala Terengganu,5.34048,103.07537
47120,Puchong,3.01222,101.6283
12200,Butterworth,5.4211,100.3762
10460,Pulau Pinang,5.41189,100.31423
14100,Simpang Ampat,5.28753,100.47088
8200,Sik,5.82069,100.69513
90739,Sandakan,5.84561,118.05706
13300,Tasek GelugurTasek Gelugor,5.263235.45296,100.48462100.47499
93350,Kuching,1.54352,110.38157
8700,Jeniang,5.8761,100.61458
70200,Seremban,2.75176,101.94276
47130,Puchong,2.98813,101.60533
43200,Cheras,3.06425,101.75429
28700,Bentong,3.52814,101.97628
45400,Sekinchan,3.37875,101.27981
35900,Tanjong Malim,3.91589,101.38123
91309,Semporna,4.43633,118.53184
17520,,,
89607,Papar,5.60641,115.96248
91008,Tawau,4.28246,117.91479
45300,Sungai Besar,3.56147,101.14595
75100,Melaka,2.20698,102.25445
16020,BachokKota Bharu,6.05586.02647,102.3487102.19053
90714,Sandakan,5.84561,118.05706
22100,Permaisuri,5.46981,102.86019
96100,Sarikei,2.04554,111.53455
12000,Butterworth,5.40925,100.3649
15050,Kota Bharu,6.12121,102.24586
89608,Papar,5.60641,115.96247
6250,Alor StarAlor Setar,5.875036.04885,100.37568100.35651
31700,Malim Nawar,4.38444,101.1174
90009,Sandakan,5.84561,118.05706
91308,Semporna,4.43633,118.53184
20400,Kuala Terengganu,5.21842,103.16818
21300,Kuala Terengganu,5.34363,103.07964
28730,Bentong,3.40948,102.00238
33400,Lenggong,4.98464,100.97299
6750,Pendang,5.95624,100.48231
45200,Sabak Bernam,3.62536,101.05928
5000,Alor Setar,6.10633,100.36846
44100,Kerling,3.55656,101.56122
30020,Ipoh,4.63066,101.04579
59000,Kuala Lumpur,3.13283,101.6783
89050,Kudat,6.82983,116.88675
95500,Debak,1.57752,111.21679
21820,Ajil,5.04643,103.09011
88817,Kota Kinabalu,5.97647,116.11578
45100,Sungai Ayer Tawar,3.77602,100.87501
2450,Kangar,6.47559,100.22503
72300,Simpang Pertang,3.01804,102.30176
47200,Subang Airport,3.18511,101.62752
89150,Kota Belud,6.34626,116.46648
32040,Seri ManjongSeri Manjung,4.219964.60203,100.75409100.79787
73000,TampinJohol,2.56872.63598,102.18243102.29326
80150,Johor Bahru,1.50735,103.73286
53200,Kuala Lumpur,3.17017,101.70565
77000,Jasin,2.2933,102.41461
43800,Dengkil,2.96863,101.65201
88848,Kota Kinabalu,5.97647,116.11578
26900,Bandar Tun Abdul Razak,2.94988,102.68182
23050,Dungun,4.77886,103.37262
33600,Enggor,4.8218,100.94596
14120,Simpang Ampat,5.30369,100.44386
22120,Permaisuri,5.43952,102.88662
94600,Asajaya,1.54238,110.51601
91114,Lahad Datu,5.04885,118.35931
6550,Alor StarAlor Setar,6.119366.11373,100.36769100.35273
50150,Kuala Lumpur,3.14055,101.69552
6350,Pokok Sena,6.15416,100.56135
23300,Ketengah Jaya,4.43482,103.37626
30250,Ipoh,4.59162,101.09673
80300,Johor Bahru,1.47574,103.75373
88837,Kota Kinabalu,5.97647,116.11578
88813,Kota Kinabalu,5.97647,116.11578
87027,Labuan,5.29132,115.24591
34520,Batu Kurau,4.9876,100.83017
6650,Simpang Empat,6.01304,100.40184
88700,Beverly,5.4204,116.79678
98850,Lawas,3.91174,114.09092
7000,Langkawi,6.2439,99.9533
40460,Shah Alam,3.05381,101.53041
91020,Tawau,4.28246,117.91479
36010,Teluk Intan,4.47065,100.8573
47600,Subang Jaya,3.04734,101.57124
41300,Klang,3.0641,101.466
71010,RantauPort Dickson,2.588972.58287,101.9629101.84021
72100,Bahau,2.81987,102.29343
11200,Tanjong BungahTanjung Bungah,5.451465.46077,100.2943100.28135
26080,KuantanBalok,3.698073.94418,103.01952103.28628
10050,Pulau Pinang,5.41946,100.32784
89807,Beaufort,5.34749,115.72731
78000,Alor Gajah,2.36181,102.22145
18500,Machang,5.75729,102.21682
50250,Kuala Lumpur,3.14466,101.69509
76400,Tanjong KlingMelaka,2.243962.20568,102.18371102.25616
89059,Kudat,6.82855,116.72412
96200,Daro,2.53208,111.52527
36800,Kampung Gajah,4.3923,100.93071
8500,Kota Kuala Muda,5.74047,100.42426
89260,TenghilanBeverly,5.997665.4204,116.52902116.79678
93200,Kuching,1.52982,110.34622
10350,Pulau Pinang,5.43086,100.31379
89109,Kota Marudu,6.48525,116.73285
87010,Labuan,5.29132,115.24591
12300,Butterworth,5.40677,100.38484
89300,Ranau,5.95892,116.64022
27650,Sungai Koyan,4.15821,101.84001
89767,Menumbok,5.31948,115.37558
41100,Klang,3.04923,101.45144
96400,Mukah,2.4118,112.04349
40505,Shah Alam,3.09061,101.5296
89907,Tenom,4.98722,115.92408
47630,Subang Jaya,3.03339,101.58484
88861,Kota Kinabalu,5.97647,116.11578
46100,Petaling Jaya,3.10258,101.62885
97300,Bintulu,3.26405,113.08464
83700,Yong Peng,1.91393,103.13259
70000,Seremban,2.81091,101.90123
93400,Kuching,1.61669,110.44067
6900,Yan,5.83662,100.4039
71770,Seremban,2.73797,101.9624
9300,Kuala Ketil,5.67474,100.67545
5300,Alor Setar,6.09067,100.38188
6300,Kuala Nerang,6.14607,100.58334
28030,Temerloh,3.63706,102.52411
98008,Miri,4.33313,113.99486
90737,Sandakan,5.84561,118.05706
11900,Bayan LepasBatu Maung,5.329395.35495,100.29067100.2709
28100,Chenor,3.50182,102.64547
34400,Simpang Ampat Semanggol,4.92108,100.70841
88673,Kota Kinabalu,5.97647,116.11578
93752,Kuching,1.53098,110.34422
44300,Batang KaliBatangkali,3.375133.22064,101.63061101.57355
94650,Kabong,1.84529,111.4252
47610,Subang Jaya,3.04388,101.57917
13000,Butterworth,5.42193,100.38883
44000,Kuala Kubu Baru,3.38595,101.54884
6910,Yan,5.83362,100.39251
90713,Sandakan,5.84561,118.05706
73200,Gemencheh,2.62125,102.31127
21010,Kuala Terengganu,5.2638,103.09377
21800,Ajil,5.06194,103.04955
25100,Kuantan,3.7784,103.17443
27200,Kuala Lipis,4.06285,102.10706
88905,Kota Kinabalu,5.97647,116.11578
88800,Kota Kinabalu,5.97647,116.11578
40200,Shah Alam,3.05442,101.51689
40300,Shah Alam,3.05486,101.53144
91150,Lahad Datu,5.04885,118.35931
72500,Kuala Pilah,2.75659,102.25226
13600,Perai,5.37688,100.38482
34140,Rantau Panjang,5.0506,100.81298
26500,MaranBandar Pusat Jengka,3.573463.74158,102.78956102.54431
33040,Kuala Kangsar,4.72722,100.95643
95007,Sri Aman,1.23358,111.46374
31150,Ulu Kinta,4.60083,101.10068
80250,Johor Bahru,1.50352,103.74044
31250,Tanjong Rambutan,4.56014,101.14476
94300,Kota Samarahan,1.47269,110.40204
28330,Triang,3.29192,102.5316
52000,Kuala Lumpur,3.20288,101.66468
8400,Merbok,5.72623,100.45289
30010,Ipoh,4.57543,101.11514
77100,Asahan,2.38,102.48194
6150,Ayer Hitam,6.18927,100.28595
47800,Petaling Jaya,3.11488,101.58686
34600,Kamunting,4.82626,100.77169
77200,BembanJasin,2.258172.38488,102.35548102.2101
94800,Simunjan,1.26573,110.81252
89209,Tuaran,6.16856,116.23483
89000,Keningau,5.3561,116.30486
88807,Kota Kinabalu,5.97647,116.11578
15350,Kota Bharu,6.1118,102.249
88832,Kota Kinabalu,5.97647,116.11578
21210,Kuala Terengganu,5.26898,103.06142
9600,Lunas,5.50709,100.55888
36700,Langkap,4.20147,101.08144
88773,Kota Kinabalu,5.97647,116.11578
88846,Kota Kinabalu,5.97647,116.11578
90107,Beluran,5.71677,117.43747
96700,Kanowit,1.9416,112.08661
32200,Lumut,4.31704,100.79772
21450,Chalok,5.38674,102.86763
90709,Sandakan,5.84561,118.05706
31200,Chemor,4.72812,101.11995
47180,Puchong,3.06657,101.61225
80400,Johor Bahru,1.50175,103.74135
42450,,,
15720,Kota Bharu,6.12202,102.24916
36750,Chikus,4.30816,101.01733
96009,Sibu,2.31003,111.84004
47820,Petaling Jaya,3.15711,101.60189
71800,Nilai,2.80926,101.8334
83600,Semerah,1.9075,102.8813
95800,Engkilili,1.28173,110.90739
15000,Kota Bharu,6.12526,102.24606
50000,Kuala Lumpur,3.14331,101.69549
13500,Permatang Pauh,5.39341,100.41071
6200,Kepala Batas,5.96606,100.47342
88860,Kota Kinabalu,5.97647,116.11578
17030,Pasir Mas,5.89307,102.17122
86700,Kahang,2.15037,103.5336
26700,Muadzam Shah,3.20413,102.80523
21040,Kuala Terengganu,5.26239,103.07925
55000,Kuala Lumpur,3.15324,101.72517
31920,KamparMambang Di Awan,4.280124.44226,101.09948101.11306
84150,Parit Jawa,1.91518,102.81967
91024,Tawau,4.28246,117.91479
47110,Puchong,3.0099,101.63184
91007,Tawau,4.28246,117.91479
9000,Kulim,5.47242,100.5385
95400,Saratok,1.66292,111.20756
86400,Parit Raja,1.8605,103.10041
42800,Tanjong Sepat,2.76911,101.56248
42300,Bandar Puncak Alam,3.16822,101.52712
33100,Pengkalan Hulu,5.47308,101.01047
16050,Bachok,6.03198,102.32513
34700,Simpang,4.71834,100.79863
73400,Gemas,2.66369,102.52592
47160,Puchong,3.04713,101.62944
71760,Bandar Baru Enstek,2.75256,101.76671
90724,Sandakan,5.84561,118.05706
34350,Kuala Kurau,4.92113,100.51865
91110,Lahad Datu,5.04885,118.35931
28400,Mentakab,3.54347,102.3122
71250,Si Rusa,2.50453,101.92165
89357,,,
83500,Parit Sulong,1.96626,102.90147
50672,Kuala Lumpur,3.139,101.68685
35350,Temoh,4.35043,101.16222
46760,Petaling Jaya,3.10709,101.60826
71350,Kota,2.52313,102.13882
39200,Ringlet,4.29615,101.54507
25250,Kuantan,3.751,103.12757
15150,Kota Bharu,6.11867,102.25076
90740,Sandakan,5.84561,118.05706
16010,Kota Bharu,6.00637,102.21796
88853,Kota Kinabalu,5.97647,116.11578
71400,Rembau,2.59678,102.08989
73100,Johol,2.61824,102.27011
81500,Pekan NenasSungai Mati,1.662731.51407,103.4182103.70141
10450,Pulau Pinang,5.41819,100.3068
6010,ChangloonUniversiti Utara Malaysia,6.237146.45738,100.43072100.50602
91209,Kunak,4.75631,118.08949
47650,Subang Jaya,3.14017,101.60725
71960,Port Dickson,2.6616,101.76869
48200,Serendah,3.23003,101.63743
12100,Butterworth,5.41255,100.37483
26050,Bukit Goh,3.77934,102.9106
26100,BalokKuantan,3.912033.83727,103.32983103.287
18200,Dabong,5.49382,102.05226
36600,Chenderong Balai,4.29916,101.01005
22010,Jerteh,5.62092,102.59327
71950,Seremban,2.69808,101.90752
51100,Kuala Lumpur,3.17499,101.68933
33310,Gerik,5.34765,101.06513
8300,Gurun,5.80643,100.51359
84600,Pagoh,2.08697,102.88705
75050,Melaka,2.19932,102.26847
47170,Puchong,3.02715,101.60342
89307,Ranau,5.93705,116.66948
8330,Gurun,5.8013,100.51755
21090,Kuala Terengganu,5.775,103.015
88858,Tanjung Aru,5.97715,116.06777
91111,Lahad Datu,5.04885,118.35931
84400,Sungai Mati,2.07489,102.7197
88869,Kota Kinabalu,5.97647,116.11578
88789,Kota Kinabalu,5.97647,116.11578
90729,Sandakan,5.84561,118.05706
84900,Tangkak,2.14616,102.78478
62502,Putrajaya,2.92758,101.69605
88757,Kota Kinabalu,5.97647,116.11578
73470,Pusat Bandar Palong,2.9001,102.56254
35800,Slim River,4.03033,101.29395
24300,Kerteh,4.69852,103.35681
88815,Kota Kinabalu,5.97647,116.11578
31550,Pusing,4.51172,100.99172
17040,Pasir Mas,6.02839,102.15515
21060,Kuala Terengganu,5.3185,103.07395
81600,Pengerang,1.46559,103.94351
90109,Beluran,5.71677,117.43747
25350,Kuantan,3.7745,103.2176
18020,,,
96508,Bintangor,2.21382,111.55139
45700,Bukit Rotan,3.19556,101.39264
13100,Penaga,5.46315,100.4027
13800,Butterworth,5.37226,100.44176
95407,Saratok,1.7362,111.35284
6660,Alor Setar,6.01667,100.4
16070,Bachok,6.03342,102.34988
88839,Kota Kinabalu,5.97647,116.11578
26040,Kuantan,3.84592,103.17692
88803,Kota Kinabalu,5.97647,116.11578
11960,Batu Maung,5.25803,100.29234
81920,Ayer Tawar 3Ayer Tawar 5Ayer Tawar 2Ayer Tawar 4,1.720972.130821.757811.50584,103.8967102.44717103.92906103.95007
89250,Tamparuli,6.11704,116.26751
90734,Sandakan,5.84561,118.05706
96250,Matu,2.6413,111.44373
